Player,Salary,Team
Dejounte Murray," $1,180,080.00 ",SAS
Delon Wright," $1,577,280.00 ",TOR
DeMar DeRozan," $26,540,100.00 ",TOR
DeMarcus Cousins," $16,957,900.00 ",NOH
DeMarre Carroll," $14,200,000.00 ",TOR
Demetrius Jackson," $1,450,000.00 ",BOS
Dennis Schroder," $2,708,582.00 ",ATL
Denzel Valentine," $2,092,200.00 ",CHI
Deron Williams," $9,000,000.00 ",DAL
Deron Williams," $5,500,000.00 ",NJN
Deron Williams," $259,626.00 ",CLE
Derrick Favors," $11,050,000.00 ",UTA
Derrick Jones," $543,471.00 ",PHO
Derrick Rose," $21,323,250.00 ",NYK
Derrick Williams," $4,598,000.00 ",MIA
Derrick Williams," $402,043.00 ",CLE
Devin Booker," $2,223,600.00 ",PHO
Devin Harris," $4,228,000.00 ",DAL
Dewayne Dedmon," $2,898,000.00 ",SAS
Deyonta Davis," $1,369,229.00 ",MEM
Diamond Stone," $543,471.00 ",LAC
Dion Waiters," $2,898,000.00 ",MIA
Dionte Christmas," $50,000.00 ",PHI
Dirk Nowitzki," $25,000,000.00 ",DAL
Domantas Sabonis," $2,440,200.00 ",OKC
Donatas Motiejunas," $576,724.00 ",NOH
Dorian Finney-Smith," $543,471.00 ",DAL
Doug McDermott," $2,483,040.00 ",OKC
Dragan Bender," $4,276,320.00 ",PHO
Draymond Green," $15,330,435.00 ",GSW
Dwight Howard," $23,180,275.00 ",ATL
Dwight Powell," $8,375,000.00 ",DAL
Dwyane Wade," $23,200,000.00 ",CHI
E.J. Singler," $50,000.00 ",TOR
E\'Twaun Moore," $8,081,363.00 ",NOH
Ed Davis," $6,666,667.00 ",POR
Edy Tavares," $1,000,000.00 ",ATL
Edy Tavares," $5,145.00 ",CLE
Egidijus Mockevicius," $100,000.00 ",NJN
Elfrid Payton," $2,613,600.00 ",ORL
Elgin Cook," $50,000.00 ",GSW
Elijah Millsap," $23,069.00 ",PHO
Elliot Williams," $250,000.00 ",GSW
Elton Brand," $1,000,000.00 ",PHI
Emmanuel Mudiay," $3,241,800.00 ",DEN
Enes Kanter," $17,145,838.00 ",OKC
Eric Bledsoe," $14,000,000.00 ",PHO
Eric Gordon," $12,385,364.00 ",HOU
Ersan Ilyasova," $8,400,000.00 ",ATL
Evan Fournier," $17,000,000.00 ",ORL
Evan Turner," $16,393,443.00 ",POR
Festus Ezeli," $7,400,000.00 ",POR
Frank Kaminsky," $2,730,000.00 ",CHA
Fred VanVleet," $543,471.00 ",TOR
Gal Mekel," $315,760.00 ",DAL
Garrett Temple," $8,000,000.00 ",SAC
Gary Harris," $1,655,880.00 ",DEN
Gary Neal," $72,193.00 ",ATL
Gary Payton," $543,471.00 ",HOU
Gary Payton," $35,166.00 ",MIL
George Hill," $8,000,000.00 ",UTA
Georges Niang," $650,000.00 ",IND
Georgios Papagiannis," $2,202,240.00 ",SAC
Gerald Green," $1,410,598.00 ",BOS
Gerald Henderson," $9,000,000.00 ",PHI
Giannis Antetokounmpo," $2,995,421.00 ",MIL
Glenn Robinson," $1,050,500.00 ",IND
Goran Dragic," $15,890,000.00 ",MIA
Gordon Hayward," $16,073,140.00 ",UTA
Gorgui Dieng," $2,348,783.00 ",MIN
Greg Monroe," $17,100,000.00 ",MIL
Greivis Vasquez," $4,347,826.00 ",NJN
Harrison Barnes," $22,116,750.00 ",DAL
Hassan Whiteside," $22,116,750.00 ",MIA
Henry Ellenson," $1,704,120.00 ",DET
Henry Sims," $75,000.00 ",UTA
Hollis Thompson," $442,126.00 ",PHI
Hollis Thompson," $119,494.00 ",NOH
Ian Clark," $1,015,696.00 ",GSW
Ian Mahinmi," $15,944,154.00 ",WAS
Iman Shumpert," $9,700,000.00 ",CLE
Isaiah Canaan," $1,015,696.00 ",CHI
Isaiah Cousins," $100,000.00 ",SAC
Isaiah Taylor," $305,000.00 ",HOU
Isaiah Thomas," $6,587,132.00 ",BOS
Isaiah Whitehead," $1,074,145.00 ",NJN
Ish Smith," $6,000,000.00 ",DET
Ivica Zubac," $1,034,956.00 ",LAL
J.J. Barea," $4,096,950.00 ",DAL
J.J. Redick," $7,377,500.00 ",LAC
J.P. Tokoto," $100,000.00 ",NYK
J.R. Smith," $12,800,000.00 ",CLE
Jabari Parker," $5,374,320.00 ",MIL
Jae Crowder," $6,286,408.00 ",BOS
Jahlil Okafor," $4,788,840.00 ",PHI
Jake Layman," $600,000.00 ",POR
Jakob Poeltl," $2,703,960.00 ",TOR
Jalen Jones," $25,000.00 ",BOS
Jamal Crawford," $13,253,012.00 ",LAC
Jamal Murray," $3,210,840.00 ",DEN
Jameel Warney," $20,000.00 ",DAL
Jameer Nelson," $4,540,525.00 ",DEN
James Ennis," $2,898,000.00 ",MEM
James Harden," $26,540,100.00 ",HOU
James Johnson," $4,000,000.00 ",MIA
James Jones," $1,551,659.00 ",CLE
