Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Nik Stauskas,SG,23,PHI,80,27,2188,9,0.237,5.7,12.9,16.4,0.1,1.4,1.4,-0.2,634,0.396,0.368,0.5,226,188,45,32,756
Nikola Jokic,C,21,DEN,73,59,2038,26.4,0.267,19.5,28.8,23.5,7.7,2,9.7,5.3,854,0.578,0.324,0.605,718,359,61,56,1221
Nikola Mirotic,PF,25,CHI,70,15,1679,14.5,0.205,12.3,6.9,19.8,1.3,2.5,3.8,1,625,0.413,0.342,0.516,384,75,53,56,744
Nikola Vucevic,C,26,ORL,75,55,2163,19.1,0.155,19.6,16.9,24.8,0.8,3.2,4,1.7,1031,0.468,0.307,0.48,779,208,77,74,1096
Noah Vonleh,PF,21,POR,74,41,1265,10.8,0.348,17,3.4,13.1,0.6,1.2,1.8,-0.6,270,0.481,0.35,0.494,387,31,30,27,327
Norman Powell,SG,23,TOR,76,18,1368,14,0.314,6.9,9.3,21.1,1.4,1.4,2.8,0.2,506,0.449,0.324,0.504,168,82,51,14,636
Norris Cole,PG,28,OKC,13,0,125,5.4,0.192,4.9,16.3,21.5,-0.2,0.2,-0.1,-0.2,52,0.308,0.231,0.337,11,14,8,0,43
Okaro White,PF,24,MIA,35,0,471,7.5,0.253,9.6,6,10.8,0.1,0.5,0.6,0,87,0.379,0.353,0.448,82,21,10,10,98
Omer Asik,C,30,NOP,31,19,482,9.8,0.6,17.8,4.2,8.8,0.4,0.6,1,-0.1,65,0.477,0,0.477,163,15,5,10,85
Omri Casspi,SF,28,TOT,36,2,643,9.9,0.176,10.1,8.6,14.5,0.1,0.4,0.5,-0.2,165,0.467,0.349,0.512,112,37,23,3,186
Otto Porter,SF,23,WAS,80,80,2605,17.3,0.148,11.1,6.7,15.1,6.5,2.9,9.4,3.9,803,0.516,0.434,0.608,515,121,116,41,1075
P.J. Tucker,SF,31,TOT,81,21,2236,10.5,0.193,11.6,6,11.2,1.4,2.2,3.6,1.6,482,0.413,0.357,0.485,472,99,116,19,540
Pascal Siakam,PF,22,TOR,55,38,859,11.5,0.156,12.2,2.9,13.1,0.4,1.2,1.6,0.2,205,0.502,0.143,0.505,185,17,26,45,229
Pat Connaughton,SG,24,POR,39,1,316,11.8,0.125,9.1,12.7,13,0.4,0.2,0.6,0,72,0.514,0.515,0.632,52,28,6,2,98
Patricio Garino,SG,23,ORL,5,0,43,-9.2,0,8.9,0,10.2,-0.2,0,-0.2,-0.2,7,0,0,0,7,0,0,0,0
Patrick Beverley,SG,28,HOU,67,67,2058,13,0.175,10.4,18.8,14.1,2.9,2.4,5.3,2.2,543,0.42,0.382,0.521,394,281,99,25,639
Patrick McCaw,SG,21,GSW,71,20,1074,8.6,0.151,5.2,9,11.9,0.6,1.2,1.7,0.1,245,0.433,0.333,0.516,101,77,32,15,282
Patrick Patterson,PF,27,TOR,65,8,1599,10.8,0.156,10.3,6.6,12.5,1.7,1.6,3.3,1.2,384,0.401,0.372,0.523,291,76,40,23,445
Patty Mills,PG,28,SAS,80,8,1754,15.2,0.129,4.6,24.3,19.5,2.8,2.2,5.1,1.5,622,0.439,0.413,0.557,142,280,65,3,759
Pau Gasol,C,36,SAS,64,39,1627,20.2,0.305,17.4,14.7,21.3,3.3,3.1,6.4,2.4,604,0.502,0.538,0.548,501,150,24,70,792
Paul George,SF,26,IND,75,75,2689,20.2,0.277,10.3,16.1,28.9,4,3.1,7.1,3.2,1349,0.461,0.393,0.533,492,251,117,27,1775
Paul Millsap,PF,31,ATL,69,67,2343,17.8,0.417,12.5,17.9,24.4,2.6,3.8,6.4,2.7,972,0.442,0.311,0.481,533,252,90,62,1246
Paul Pierce,SF,39,LAC,25,7,277,5.7,0.186,9.7,5,14.8,-0.2,0.3,0.1,-0.2,70,0.4,0.349,0.507,48,10,4,5,81
Paul Zipser,SF,22,CHI,44,18,843,6.9,0.181,8,6.1,14.4,-0.3,0.8,0.5,-0.4,221,0.398,0.333,0.473,125,36,15,16,240
Pierre Jackson,PG,25,DAL,8,1,84,13,0.179,6.2,38,25.3,0,0.1,0,-0.1,39,0.333,0.273,0.372,9,19,2,0,35
Quincy Acy,PF,26,TOT,38,1,558,11.8,0.353,11,4.9,16.8,0.5,0.5,0.9,-0.1,170,0.412,0.411,0.521,115,18,14,15,222
Quinn Cook,PG,23,TOT,14,0,188,11.8,0.076,2,22.8,19.6,0.1,0.1,0.2,-0.2,66,0.5,0.423,0.583,7,26,4,0,79
R.J. Hunter,SG,23,CHI,3,0,9,-3.2,0,6,0,4.8,0,0,0,0,1,0,0,0,1,0,0,0,0
Rajon Rondo,PG,30,CHI,69,42,1843,13.6,0.089,10.4,37,17.8,-0.3,2.7,2.3,1.1,561,0.408,0.376,0.453,355,461,99,11,538
Rakeem Christmas,PF,25,IND,29,0,219,10.4,0.674,14.4,2.5,13.1,0.3,0.2,0.5,-0.1,43,0.442,0,0.442,56,4,3,6,59
Ramon Sessions,PG,30,CHO,50,1,811,12.3,0.449,4.9,24.2,20.1,0.3,0.6,0.9,-0.6,263,0.38,0.339,0.42,73,129,26,3,312
Randy Foye,SG,33,BRK,69,40,1284,7.3,0.194,6.4,15.2,14.4,-0.6,0.7,0.2,-0.6,325,0.363,0.33,0.466,155,135,35,9,357
Rashad Vaughn,SG,20,MIL,41,2,458,7.8,0.032,6.2,7.4,17.2,-0.5,0.4,0,-0.3,156,0.365,0.321,0.449,49,23,19,10,142
Raul Neto,PG,24,UTA,40,0,346,10.7,0.099,5,15.1,14.8,0.2,0.6,0.7,0.1,91,0.451,0.323,0.505,30,34,21,5,100
Raymond Felton,PG,32,LAC,80,11,1700,10.9,0.125,7.1,16.3,16.5,0.2,1.8,2,0.5,514,0.43,0.319,0.475,217,191,67,22,538
Reggie Bullock,SF,25,DET,31,5,467,11.7,0.055,7.5,8.8,13.4,0.4,0.5,1,0.2,128,0.422,0.384,0.531,64,29,18,3,141
Reggie Jackson,PG,26,DET,52,50,1424,14.9,0.201,4.3,30.3,26.4,0.8,1.2,1.9,0.2,677,0.419,0.359,0.468,113,270,35,5,752
