Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Tyson Chandler,C,34,PHO,47,46,1298,16.6,0.544,22.6,3.3,11.3,2.7,1.3,4,0.5,228,0.671,0,0.671,539,30,33,24,397
Tyus Jones,PG,20,MIN,60,0,774,13.8,0.238,5,28,13.6,1,0.6,1.5,0,181,0.414,0.356,0.486,67,156,47,5,209
Udonis Haslem,C,36,MIA,17,0,130,8.4,0.652,15.3,6.4,12.8,0,0.2,0.2,-0.1,23,0.478,0,0.478,36,6,5,1,31
Victor Oladipo,SG,24,OKC,67,67,2222,13.6,0.165,7.2,12.5,21.4,1.7,2.3,4,0.4,932,0.442,0.361,0.51,291,176,78,21,1067
Vince Carter,SF,40,MEM,73,15,1799,11.7,0.235,7.2,11.5,14.9,1.9,2.1,4,1.4,490,0.394,0.378,0.508,227,133,60,36,586
Wade Baldwin,PG,20,MEM,33,1,405,6.4,0.322,6.5,22.8,19.2,-0.9,0.5,-0.4,-0.4,115,0.313,0.136,0.326,46,61,18,7,106
Wayne Ellington,SG,29,MIA,62,13,1500,12.6,0.077,4.9,7.1,17.9,2.1,1.2,3.3,0.7,555,0.416,0.378,0.55,133,70,35,4,648
Wayne Selden,SG,22,TOT,14,5,236,6.9,0.379,3.8,8.5,15.3,-0.1,0.2,0.1,-0.2,58,0.431,0.25,0.491,16,13,6,1,71
Wesley Johnson,SF,29,LAC,68,3,810,8.4,0.085,12.5,3.9,12.5,-0.3,1.2,0.9,0,200,0.365,0.246,0.438,181,23,29,30,186
Wesley Matthews,SG,30,DAL,73,73,2495,11.9,0.211,6,13.6,19.4,1,2.1,3.1,1.3,847,0.393,0.363,0.496,259,210,77,16,986
Will Barton,SG,26,DEN,60,19,1705,15.5,0.285,8.4,17.7,21.1,2.5,0.8,3.3,1,666,0.443,0.37,0.508,258,206,48,28,820
Willie Cauley-Stein,C,23,SAC,75,21,1421,16.4,0.314,13.8,9.4,19.6,1.4,1.5,3,0.3,481,0.53,0,0.53,340,80,53,45,611
Willie Reed,C,26,MIA,71,5,1031,17.1,0.309,17.8,3.9,15.3,2.1,1.5,3.6,0.4,285,0.568,0.25,0.57,332,26,18,47,374
Willy Hernangomez,C,22,NYK,72,22,1324,18.9,0.269,20.4,11.5,20.3,1.8,1.6,3.4,0.7,465,0.529,0.267,0.533,502,96,41,36,587
Wilson Chandler,SF,29,DEN,71,33,2197,14.9,0.207,11.5,9.8,22,2.4,1.1,3.6,0.7,939,0.461,0.337,0.52,459,141,52,30,1117
Yogi Ferrell,PG,23,TOT,46,29,1197,13.1,0.226,5.3,23.2,19.6,0.8,1,1.8,0.4,394,0.406,0.386,0.492,111,172,42,9,462
Zach LaVine,SG,21,MIN,47,47,1749,14.6,0.197,5.3,12.6,21.7,2.5,0.4,3,0.8,710,0.459,0.387,0.544,159,139,41,10,889
Zach Randolph,PF,35,MEM,73,5,1786,18.5,0.2,19.1,13.5,29.2,0.8,2.4,3.2,0,964,0.449,0.223,0.46,598,122,38,10,1028
Zaza Pachulia,C,32,GSW,70,70,1268,16.1,0.41,17.7,13.6,15.3,2.2,2.5,4.7,1.5,307,0.534,0,0.534,410,132,59,33,426
