Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,WS/48,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Nikola Jokic,C,21,DEN,73,59,2038,26.4,0.267,19.5,28.8,23.5,7.7,2,9.7,0.229,5.3,854,0.578,0.324,0.605,718,359,61,56,1221
Dahntay Jones,SF,36,CLE,1,0,12,14.7,0.5,9.2,14.5,39.9,0,0,0,-0.03,0,8,0.375,0,0.375,2,1,0,0,9
Damian Jones,C,21,GSW,10,0,85,5.3,0.625,14.8,0,13.4,-0.1,0.1,0,0.018,-0.2,16,0.5,,0.5,23,0,1,4,19
Derrick Jones,SF,19,PHO,32,8,545,12,0.339,7.9,3.1,11.7,0.9,0.2,1.1,0.098,0.1,121,0.562,0.273,0.574,79,12,14,13,168
James Jones,SF,36,CLE,48,2,381,11.3,0.217,5.5,5.2,13,0.6,0.2,0.8,0.104,0,92,0.478,0.47,0.647,38,14,7,10,132
Terrence Jones,PF,25,TOT,54,12,1270,16.1,0.346,12.7,7.3,21.4,0.4,1.9,2.3,0.087,0.2,491,0.47,0.253,0.49,306,58,40,54,584
Terrence Jones,PF,25,NOP,51,12,1264,16.2,0.348,12.6,7.4,21.4,0.5,1.8,2.3,0.089,0.2,488,0.473,0.253,0.493,303,58,39,53,584
Terrence Jones,PF,25,MIL,3,0,6,1.5,0,29.1,0,22.8,-0.1,0,0,-0.312,0,3,0,,0,3,0,1,1,0
Tyus Jones,PG,20,MIN,60,0,774,13.8,0.238,5,28,13.6,1,0.6,1.5,0.095,0,181,0.414,0.356,0.486,67,156,47,5,209
DeAndre Jordan,C,28,LAC,81,81,2570,21.8,0.737,24.2,5.7,15.3,7.2,4.6,11.8,0.22,3.9,577,0.714,0,0.714,1114,96,52,135,1029
Cory Joseph,SG,25,TOR,80,22,2003,13.2,0.185,6.6,20,18.4,1.7,1.7,3.4,0.082,0.6,661,0.452,0.356,0.489,235,265,66,13,740
Frank Kaminsky,C,23,CHO,75,16,1954,13,0.195,9.5,13.5,21.8,0.4,1.9,2.3,0.056,0.2,802,0.399,0.328,0.471,336,162,47,34,874
Enes Kanter,C,24,OKC,72,0,1533,23.7,0.387,17.4,7.9,27.3,4,1.8,5.8,0.183,0.3,737,0.545,0.132,0.549,482,67,32,38,1033
Ryan Kelly,PF,25,ATL,16,0,110,7.8,0.214,9,10.2,13.7,-0.1,0.2,0.1,0.029,-0.1,28,0.286,0.4,0.357,18,8,4,5,25
Michael Kidd-Gilchrist,SF,23,CHO,81,81,2349,14.3,0.314,13.2,7.4,14.6,2.7,3.1,5.8,0.119,1.3,618,0.477,0.111,0.478,565,114,81,77,743
Sean Kilpatrick,SG,27,BRK,70,24,1754,13.1,0.329,8.4,14.6,23.9,0.3,1.1,1.4,0.039,-0.4,735,0.415,0.341,0.486,280,157,46,6,919
Brandon Knight,SG,25,PHO,54,5,1140,12.3,0.293,5.6,17.8,25,0.1,0.2,0.3,0.013,-0.7,525,0.398,0.324,0.441,118,130,27,5,595
Kyle Korver,SG,35,TOT,67,22,1753,12.1,0.082,5.9,9.4,15.2,2.3,1.3,3.7,0.101,0.8,515,0.464,0.451,0.621,187,110,34,21,678
Kyle Korver,SG,35,ATL,32,21,894,10.9,0.11,5.5,12.6,14.5,0.7,0.9,1.6,0.088,0.4,246,0.439,0.409,0.571,90,75,23,13,305
Kyle Korver,SG,35,CLE,35,1,859,13.5,0.056,6.2,6.1,15.8,1.6,0.4,2,0.114,0.4,269,0.487,0.485,0.667,97,35,11,8,373
Kosta Koufos,C,27,SAC,71,62,1419,13.8,0.158,16.4,5.3,15.3,1.2,1.4,2.6,0.089,0,392,0.551,0,0.551,403,47,36,48,470
Mindaugas Kuzminskas,SF,27,NYK,68,5,1016,12.4,0.184,6.7,10.3,19.2,0.8,0.4,1.2,0.055,-0.2,369,0.428,0.321,0.501,126,69,29,11,425
Skal Labissiere,PF,20,SAC,33,12,612,16.8,0.339,15.3,7.5,21.3,0.7,0.5,1.3,0.099,-0.1,218,0.537,0.375,0.544,162,27,16,13,289
Jeremy Lamb,SG,24,CHO,62,5,1143,17,0.263,12.7,11.3,23.2,1.4,1.3,2.7,0.115,0.1,491,0.46,0.281,0.502,264,75,27,23,603
Nicolas Laprovittola,PG,27,SAS,18,3,174,8.4,0.191,3.3,23,18.2,0,0.2,0.2,0.044,-0.1,47,0.426,0.37,0.532,10,28,4,1,59
Joffrey Lauvergne,PF-C,25,TOT,70,1,980,12.6,0.217,14.1,10.8,18.5,0.4,1.1,1.5,0.075,-0.3,336,0.44,0.337,0.49,251,70,25,6,375
Joffrey Lauvergne,PF,25,OKC,50,0,739,12.9,0.238,13.7,10.3,17.8,0.6,0.8,1.4,0.091,-0.2,244,0.455,0.346,0.51,183,51,18,6,286
Joffrey Lauvergne,C,25,CHI,20,1,241,11.6,0.163,15.2,12.2,20.8,-0.2,0.3,0.1,0.025,-0.1,92,0.402,0.3,0.435,68,19,7,0,89
Zach LaVine,SG,21,MIN,47,47,1749,14.6,0.197,5.3,12.6,21.7,2.5,0.4,3,0.082,0.8,710,0.459,0.387,0.544,159,139,41,10,889
Ty Lawson,PG,29,SAC,69,24,1732,15.4,0.416,6,30,19.5,2.2,1,3.2,0.088,0.3,522,0.454,0.288,0.487,179,335,74,6,681
Jake Layman,SF,22,POR,35,1,249,4.9,0.191,5.3,6.2,19,-0.4,0.1,-0.3,-0.054,-0.3,89,0.292,0.255,0.365,24,11,9,3,78
Courtney Lee,SG,31,NYK,77,74,2459,12.1,0.139,5.7,10.6,14.4,3.1,1.1,4.2,0.081,1.1,704,0.456,0.401,0.533,260,179,81,23,835
David Lee,PF,33,SAS,79,10,1477,18.4,0.269,16.9,13,16.9,3.2,2.5,5.7,0.186,1.9,420,0.59,,0.59,440,124,31,40,576
Alex Len,C,23,PHO,77,34,1560,15,0.449,17.8,4.2,17.6,1.2,1.7,3,0.091,0.1,463,0.497,0.25,0.5,510,44,37,98,613
Kawhi Leonard,SF,25,SAS,74,74,2474,27.5,0.407,9.8,18.9,31.1,8.9,4.7,13.6,0.264,6.2,1311,0.485,0.381,0.541,430,260,132,55,1888
Meyers Leonard,PF,24,POR,74,12,1222,8.9,0.106,10.7,8.4,15.5,0.5,0.8,1.4,0.053,-0.4,378,0.386,0.347,0.484,236,71,13,28,401
Jon Leuer,PF,27,DET,75,34,1944,14.2,0.175,11.3,8.6,17.3,2.5,2,4.5,0.112,1.1,646,0.48,0.293,0.518,402,111,31,26,767
Caris LeVert,SF,22,BRK,57,26,1237,12.2,0.245,8,13.7,16.6,0.8,1,1.8,0.07,0.3,380,0.45,0.321,0.528,188,110,49,8,468
DeAndre Liggins,SG,28,TOT,62,19,777,7.5,0.282,7.7,9.2,11.6,-0.4,0.9,0.5,0.031,0,142,0.387,0.37,0.447,108,54,47,14,152
DeAndre Liggins,SG,28,CLE,61,19,752,7.2,0.272,7.4,9.5,11.5,-0.5,0.9,0.4,0.025,0,136,0.382,0.378,0.445,101,54,45,14,144
DeAndre Liggins,SG,28,DAL,1,0,25,17.6,0.5,16.3,0,13.8,0.1,0,0.1,0.194,0,6,0.5,0,0.5,7,0,2,0,8
